ingredients,abv,sweetness,sourness,bitterness,body,herbal,coffee,fruity,citrus,creamy,berry,tropical,sweet,smoky,spicy,nutty,plain
진,40,0,0,2,4,9,0,0,1,0,0,0,0,0,0,0,4
럼,40,1,0,1,4,0,0,2,0,0,0,4,4,0,0,0,4
보드카,40,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10
위스키,40,1,0,3,6,2,1,0,0,0,0,0,0,8,4,5,0
브랜디,40,2,0,1,5,1,0,2,0,0,0,0,0,6,3,6,0
데킬라,40,0,1,2,4,2,0,0,1,0,0,0,0,3,8,0,0
압생트,40,1,0,4,5,9,0,0,0,0,0,0,0,0,0,0,0
문샤인,45,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,7
오렌지 리큐르,30,8,1,2,3,1,0,8,6,0,0,0,7,0,0,0,0
블루 큐라소,30,8,1,2,3,1,0,8,6,0,0,0,7,0,0,0,0
오렌지 주스,0,6,3,0,2,0,0,9,7,0,0,0,8,0,0,0,0
라임 주스,0,2,9,0,1,0,0,6,9,0,0,0,1,0,0,0,0
레몬 주스,0,3,9,0,1,0,0,5,10,0,0,0,3,0,0,0,0
체리 리큐르,25,8,2,1,3,0,0,9,2,0,9,0,7,0,0,0,0
크랜베리 주스,0,5,7,0,1,0,0,7,4,0,8,0,9,0,0,0,0
파인애플 주스,0,7,5,0,2,0,0,9,3,0,0,9,8,0,0,0,0
아몬드 리큐르,25,9,1,1,4,2,0,2,0,1,0,0,8,0,0,10,0
심플 시럽,0,10,0,0,1,0,0,0,0,0,0,0,10,0,0,0,5
커피 리큐르,20,7,0,1,4,0,9,1,0,1,0,0,7,0,0,6,0
허브 리큐르,35,6,1,1,4,9,0,1,1,0,0,0,0,0,0,0,0
드라이 베르무트,20,1,2,2,3,6,0,2,1,0,0,0,0,0,0,0,0
스위트 베르무트,15,6,2,1,4,5,0,3,1,0,0,0,7,0,0,0,0
비터스,45,0,0,10,2,8,0,0,0,0,0,0,0,0,6,0,0
우유,0,3,0,0,6,0,0,0,0,10,0,0,5,0,0,0,10
탄산수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
그레나딘 시럽,0,9,2,0,1,0,0,8,4,0,10,0,10,0,0,0,0
