id,ingredient_name
1,1 oz  rum
1,0.5 oz  Almond Liqueur
1,4 oz  Orange juice
1,Simple Syrup
2,1 oz  Almond Liqueur
2,lemon
2,Ice
2,Maraschino cherry
3,2 shot  Gin
3,1 Shot  Orange Liqueur
3,0.25 Shot Lemon Juice
3,Simple Syrup
4,1.5 oz  Gin
4,1 dash  Bitters
4,Orange
4,Cherry
5,2 shots  Gin
5,1 shot  Sweet Vermouth
5,1 shot  Orange Juice
5,3 dashes  Bitters
6,1 oz  Gin
6,0.5 oz Lime juice
6,ice
6,soda
7,1.5 oz  Rum
7,1.5 tsp  Orange Liqueur
7,1 tblsp  Lime juice
7,Simple Syrup
7,Milk
7,Mint
8,2 shots  Gin
8,Simple Syrup
8,1.5 shot  Milk
9,1 oz rum
9,1 oz  Whiskey
10,2 oz  Rum
10,1 oz  Lemon juice
10,Simple Syrup
13,2 shots  Sweet Vermouth
13,1 shot  Dry Vermouth
13,soda
14,1.5 shot  Gin
14,1.5 shot  Vermouth
15,1 shot  Vodka
15,Simple Syrup
15,Fill with  Orange juice
15,1 shot  Rum
16,0.5 shot  Dry Vermouth
16,0.5 shot  Brandy
16,0.5 shot  Gin
16,0.25 shot Fresh Lime Juice
16,Simple Syrup
16,Water
17,0.75 oz  Sweet Vermouth
17,1.5 oz dry  Pot Wine
17,1 dash  Bitters
19,1.5 oz  Whiskey
19,1 oz  Sweet Vermouth
19,1 oz  Dry Vermouth
19,2 dashes  Bitters
20,1 oz  Brandy
20,1 oz  Orange Liqueur
20,Lime
21,2 cl  Vodka
21,Simple Syrup
21,1 cl Orange juice
22,1 oz  Orange Liqueur
22,1 oz  Brandy
22,0.5 tsp  Lemon juice
24,1 oz  Herbal Liqueur
24,1 oz  Almond Liqueur
24,0.5 oz  gin
24,1 dash  Lemon juice
25,1.5 oz  Lemon vodka
25,1 dash  Orange Liqueur
25,1 tblsp  Pineapple juice
26,1.5 oz  Whiskey
26,1 oz  Dry Vermouth
26,1 oz  Pineapple juice
27,Simple Syrup
27,1 cl  Orange juice
27,2 cl  Pineapple juice
27,4 cl  milk
28,1 shot  Almond Liqueur
28,1 shot  Orange Liqueur
28,1 shot  Herbal Liqueur
29,1 oz  Dry Vermouth
29,1 oz  Whiskey
29,1.5 tsp  brandy
29,1.5 tsp  Lemon juice
29,lemon_garnish
30,1 oz  Dry Vermouth
30,1 oz  Gin
30,0.5 tsp  Herbal Liqueur
31,2 oz  Rum
31,1 oz  Coffee Liqueur
31,Milk
32,1.5 oz  Almond Liqueur
32,1.5 oz  Milk
33,4 cl Almond Liqueur
33,6 cl Orange Juice
33,15 cl Pot Wine
33,orange_garnish
34,1.5 oz  Almond Liqueur
34,lime
35,1.5 oz  Almond Liqueur
35,0.5 oz  Lime juice
35,soda
36,1 cl  Almond Liqueur
36,4 oz  Orange juice
36,Simple Syrup
37,1 oz  Bitters
37,1 oz red  Sweet Vermouth
37,lemon
37,orange
38,0.5 oz  Brandy
38,0.5 oz  brandy
38,1 oz  Gin
39,100 ml Herbal Liqueur
39,150 ml Pot Wine
39,soda
40,1.5 oz  Rum
40,1 oz  Brandy
40,1 tsp  Orange Liqueur
40,0.5 oz  Lemon juice
40,Milk
40,Orange
41,0.5 part  Vodka
41,0.5 part  soda
41,0.5 part  Orange juice
41,Ice
41,simple_syrup
42,2 shots  Vodka
42,12 oz Lemon Juice
43,30 ml  Vodka
43,30 ml  Gin
43,45 ml  Lime Juice
43,ice
44,2 oz  Gin
44,0.5 oz  Orange Liqueur
44,2 tsp  Lemon juice
44,lemon
45,1.5 tsp  Sweet Vermouth
45,1.5 oz  Gin
45,2 dashes  Bitters
46,1 oz  Vodka
46,1 oz  Gin
46,4 oz  soda
47,5 oz  Lemon Juice
47,1 oz  Vodka
47,0.5 oz  Orange Liqueur
47,0.5 oz  Orange Liqueur
47,Simple Syrup
47,Ice
48,4 cl  Vodka
48,1 dash  Lime juice
48,soda
49,1 shot  Whiskey
49,1 shot  Coffee Liqueur
49,milk
50,4.5 cl Gin
50,1.5 cl lemon juice
50,1.5 cl Cherry Liqueur
51,1.75 oz Rum
51,1 oz  Lime juice
51,Simple Syrup
51,Simple Syrup
52,1.5 oz  Whiskey
52,0.5 oz  Sweet Vermouth
52,0.5 oz  Dry Vermouth
52,2 dashes  Bitters
53,4.5 cl Rum
53,1.5 cl Herbal Liqueur
53,6 cl Pineapple Juice
53,1 dash Lime Juice
53,top up  Pot Wine
54,6 cl rum
54,2 cl Orange Juice
54,2 cl Lime Juice
54,2 jiggers Orange Liqueur
55,0.75 oz  Brandy
55,0.75 oz  Gin
55,0.75 oz  Dry Vermouth
55,Soda
55,Lemon peel
56,1 oz  Brandy
56,1 oz  Rum
56,1 oz  Orange Liqueur
56,1 oz  Lemon juice
57,1 dash Bitters
57,1 oz Herbal Liqueur
57,1 oz Gin
57,1 oz Sweet Vermouth
58,ice
58,Simple Syrup
58,1 oz Cherry brandy
58,1 oz Vodka
58,Milk
59,0.75 oz  Coffee liqueur
59,1.5 oz  Vodka
60,1 oz  Sweet Vermouth
60,1.5 oz  gin
60,lemon
61,1 oz  Vodka
61,1 oz  Orange Liqueur
61,Lemon Juice
61,Cherry
62,1.5 oz  Tequila
62,1 oz  Orange Liqueur
