ingredients,abv,sweetness,sourness,bitterness,body,herbal,coffee,fruity,citrus,creamy,berry,tropical,sweet,smoky,spicy,nutty,plain
gin,40,0,0,2,4,9,0,0,1,0,0,0,0,0,0,0,4
rum,40,1,0,1,4,0,0,2,0,0,0,4,4,0,0,0,4
vodka,40,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10
whiskey,40,1,0,3,6,2,1,0,0,0,0,0,0,8,4,5,0
brandy,40,2,0,1,5,1,0,2,0,0,0,0,0,6,3,6,0
tequila,40,0,1,2,4,2,0,0,1,0,0,0,0,3,8,0,0
absinthe,40,1,0,4,5,9,0,0,0,0,0,0,0,0,0,0,0
moonshine,45,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,7
orange_liqueur,30,8,1,2,3,1,0,8,6,0,0,0,7,0,0,0,0
blue_curacao,30,8,1,2,3,1,0,8,6,0,0,0,7,0,0,0,0
orange_juice,0,6,3,0,2,0,0,9,7,0,0,0,8,0,0,0,0
lime_juice,0,2,9,0,1,0,0,6,9,0,0,0,1,0,0,0,0
lemon_juice,0,3,9,0,1,0,0,5,10,0,0,0,3,0,0,0,0
cherry_liqueur,25,8,2,1,3,0,0,9,2,0,9,0,7,0,0,0,0
cranberry_juice,0,5,7,0,1,0,0,7,4,0,8,0,9,0,0,0,0
pineapple_juice,0,7,5,0,2,0,0,9,3,0,0,9,8,0,0,0,0
almond_liqueur,25,9,1,1,4,2,0,2,0,1,0,0,8,0,0,10,0
simple_syrup,0,10,0,0,1,0,0,0,0,0,0,0,10,0,0,0,5
coffee_liqueur,20,7,0,1,4,0,9,1,0,1,0,0,7,0,0,6,0
herbal_liqueur,35,6,1,1,4,9,0,1,1,0,0,0,0,0,0,0,0
dry_vermouth,20,1,2,2,3,6,0,2,1,0,0,0,0,0,0,0,0
sweet_vermouth,15,6,2,1,4,5,0,3,1,0,0,0,7,0,0,0,0
bitters,45,0,0,10,2,8,0,0,0,0,0,0,0,0,6,0,0
milk,0,3,0,0,6,0,0,0,0,10,0,0,5,0,0,0,10
soda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
grenadine_syrup,0,9,2,0,1,0,0,8,4,0,10,0,10,0,0,0,0
lemon_peel,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,8
lemon_wedge,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,8
lemon_slice,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,8
lime_peel,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,8
lime_wedge,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,8
lime_slice,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,8
orange_peel,0,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,8
orange_wedge,0,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,8
orange_slice,0,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,8
cherry,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5
apple_mint,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,8
